2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
20199,Bellfield (Northern Grampians - Vic.),0.0,Y,Y,Y,Y
20234,Big Desert,8.0,Y,Y,Y,Y
20239,Billabong,0.0,Y,Y,Y,Y
20286,Boola,0.0,Y,Y,Y,Y
20320,Braeside,25.0,Y,Y,Y,N
20360,Brumby,0.0,Y,Y,Y,Y
20372,Budgee Budgee (Vic.),0.0,Y,Y,Y,Y
20374,Budgerum East,0.0,Y,Y,Y,Y
20379,Bulga (Vic.),0.0,Y,Y,Y,Y
20397,Bundara,0.0,Y,Y,Y,Y
20407,Bungil (Vic.),0.0,Y,Y,Y,Y
20413,Buragwonduc,0.0,Y,Y,Y,Y
20442,Calder Park,0.0,Y,Y,Y,Y
20452,Cambarville,0.0,Y,Y,Y,Y
20529,Chandlers Creek,0.0,Y,Y,Y,Y
20530,Chapel Flat,0.0,Y,Y,Y,Y
20544,Cheshunt South,0.0,Y,Y,Y,Y
20562,Churchill Island,0.0,Y,Y,Y,Y
20588,Cobbannah,0.0,Y,Y,Y,Y
20589,Cobberas,0.0,Y,Y,Y,Y
20601,Cocoroc,0.0,Y,Y,Y,Y
20606,Cokum,0.0,Y,Y,Y,Y
20655,Cowa,0.0,Y,Y,Y,Y
20675,Crookayan,0.0,Y,Y,Y,Y
20676,Crooked River,5.0,Y,Y,Y,N
20705,Dalyenong,0.0,Y,Y,Y,Y
20739,Deptford,0.0,Y,Y,Y,Y
20781,Double Bridges,0.0,Y,Y,Y,Y
20819,Dutson Downs,0.0,Y,Y,Y,Y
20831,East Sale,210.0,Y,Y,Y,Y
20856,Elizabeth Island,0.0,Y,Y,Y,Y
20882,Errinundra,0.0,Y,Y,Y,Y
20886,Essendon Fields,13.0,Y,Y,Y,Y
20905,Fairy Dell (East Gippsland - Vic.),0.0,Y,Y,Y,Y
20916,Fernshaw,0.0,Y,Y,Y,Y
20928,Flamingo Beach,0.0,Y,Y,Y,Y
20970,Gateway Island,0.0,Y,Y,Y,N
20981,Gentle Annie,0.0,Y,Y,Y,Y
20987,Germantown (Vic.),0.0,Y,Y,Y,Y
20997,Gillum,0.0,Y,Y,Y,Y
21023,Glenfalloch,0.0,Y,Y,Y,Y
21085,Grampians,0.0,Y,Y,Y,Y
21093,Grays Bridge,0.0,Y,Y,Y,Y
21119,Gunyah,0.0,Y,Y,Y,Y
21210,Howitt Plains,0.0,Y,Y,Y,Y
21212,Howqua Hills,5.0,Y,Y,Y,Y
21266,Jericho (Vic.),0.0,Y,Y,Y,Y
21278,Jungaburra,0.0,Y,Y,Y,Y
21372,Knockwood,0.0,Y,Y,Y,Y
21391,Koorool,0.0,Y,Y,Y,Y
21409,Kurraca West,0.0,Y,Y,Y,Y
21433,Lake Eppalock,0.0,Y,Y,Y,Y
21445,Lake Tyrrell,0.0,Y,Y,Y,Y
21446,Lake Wellington,0.0,Y,Y,Y,Y
21494,Lerderderg,0.0,Y,Y,Y,Y
21498,Licola,7.0,Y,Y,Y,N
21499,Licola North,9.0,Y,Y,Y,N
21518,Little Desert,5.0,Y,Y,Y,Y
21525,Loch Valley,0.0,Y,Y,Y,Y
21616,Marthavale,0.0,Y,Y,Y,Y
21666,Merrijig (East Gippsland - Vic.),0.0,Y,Y,Y,Y
21699,Miowera,0.0,Y,Y,Y,Y
21700,Miralie,0.0,Y,Y,Y,Y
21704,Mirimbah,0.0,Y,Y,Y,Y
21730,Monomak,0.0,Y,Y,Y,Y
21747,Moorabbin Airport,26.0,Y,Y,Y,Y
21752,Moornapa,5.0,Y,Y,Y,N
21764,Moroka,0.0,Y,Y,Y,Y
21766,Morrl Morrl,0.0,Y,Y,Y,Y
21811,Mount Sabine,0.0,Y,Y,Y,Y
21812,Mount Tassie,0.0,Y,Y,Y,Y
21876,Nap Nap Marra,0.0,Y,Y,Y,Y
