sal_code,sal_name,irsad_score,irsad_decile,ier_score,population
20691,Cullen,982.4272404,5.0,996.2740694,36.0
20692,Cullulleraine,923.2285157,2.0,975.1020744,81.0
20693,Cundare,983.3707428,5.0,1027.866011,15.0
20694,Cundare North,983.3707428,5.0,1027.866011,10.0
20695,Curdies River,1072.196609,10.0,1109.64492,25.0
20696,Curdievale,1072.196609,10.0,1109.64492,125.0
20697,Curlewis (Vic.),991.0451171,6.0,1035.833355,4175.0
20698,Curyo,987.1244231,6.0,996.0226249,20.0
20699,Dadswells Bridge,1036.629317,8.0,1038.443882,69.0
20700,Daisy Hill (Vic.),935.5139864,3.0,1012.972249,398.0
20701,Dales Creek,990.7996259,6.0,1069.763978,403.0
20702,Dallas,830.9324344,1.0,890.479297,6762.0
20703,Dalmore,962.800477,4.0,1012.810217,142.0
20704,Daltons Bridge,990.2189993,6.0,1028.31325,57.0
20706,Dalyston,924.7173637,2.0,1008.196335,843.0
20707,Dandenong,870.401779,1.0,875.3239152,30127.0
20708,Dandenong North,933.8432254,3.0,960.218756,22550.0
20709,Dandenong South,870.2281033,1.0,794.1817961,125.0
20710,Dandongadale,1005.323809,7.0,999.534319,8.0
20711,Dargo,923.2207479,2.0,957.9628386,105.0
20712,Darley,982.3008251,5.0,1048.083537,9190.0
20713,Darlimurla,974.2084853,5.0,1028.862904,46.0
20714,Darlington (Vic.),1018.341553,7.0,1044.499154,84.0
20715,Darnum,974.022193,5.0,1050.386491,759.0
20716,Darraweit Guim,1002.571978,6.0,1046.610928,402.0
20717,Darriman,967.7453948,4.0,1036.148112,12.0
20718,Dartmoor (Vic.),887.8455651,1.0,996.0439029,299.0
20719,Dartmouth,957.3470826,4.0,974.3487185,130.0
20720,Dawson (Vic.),982.957434,5.0,1067.607641,40.0
20721,Daylesford,991.6118498,6.0,965.8120743,2781.0
20722,Dean,1028.900356,8.0,1090.40701,132.0
20723,Deans Marsh,1054.636391,9.0,1067.454917,368.0
20724,Deanside,1018.220042,7.0,1060.165389,654.0
20725,Deddick Valley,915.7333538,2.0,919.1871441,12.0
20726,Dederang,1033.742659,8.0,1079.175712,198.0
20727,Deep Lead,982.3066029,5.0,1077.582206,210.0
20728,Deepdene (Vic.),1131.548217,10.0,1065.912676,2101.0
20729,Deer Park,911.1417792,2.0,953.3723688,18145.0
20730,Delacombe,897.473616,2.0,961.2308848,5408.0
20731,Delahey,902.078609,2.0,958.0182477,8077.0
20732,Delatite,1003.922316,7.0,1014.470789,13.0
20733,Delburn,970.9869473,5.0,1002.33377,37.0
20734,Delegate River,915.7333538,2.0,919.1871441,41.0
20735,Denicull Creek,1010.759881,7.0,1076.921447,19.0
20736,Denison,991.956818,6.0,1066.793462,453.0
20737,Dennington,959.8804486,4.0,1019.047834,1994.0
20738,Denver,1023.370558,8.0,1030.912541,148.0
20740,Derby (Vic.),1067.233821,9.0,1068.702125,18.0
20741,Dereel,915.5943907,2.0,1006.538651,664.0
20742,Dergholm,962.3581029,4.0,1040.899887,57.0
20743,Derrimut,994.6971161,6.0,1050.817938,8651.0
20744,Derrinal,938.8777633,3.0,1002.675644,99.0
20745,Derrinallum,938.5012102,3.0,967.4552204,386.0
20746,Devenish,972.2646343,5.0,1000.592887,208.0
20747,Devils River,999.4376689,6.0,1058.834028,14.0
20748,Devon Meadows,984.4446523,5.0,1073.713357,1551.0
20749,Devon North,988.5958731,6.0,1026.591531,352.0
20750,Dewhurst,1068.419949,9.0,1142.542826,151.0
20751,Dhurringile,962.212419,4.0,1030.123947,369.0
20752,Diamond Creek,1072.022476,10.0,1104.167629,12503.0
20753,Digby,970.8373893,5.0,1010.56976,122.0
20754,Diggers Rest,1000.574027,6.0,1045.660174,5669.0
20755,Diggora,1039.580397,8.0,1054.0683,78.0
20756,Dimboola,901.4934913,2.0,934.8787352,1635.0
20757,Dingee,1029.771543,8.0,1043.928621,195.0
20758,Dingley Village,1048.481368,9.0,1068.886475,10495.0
20759,Dingwall,979.7786935,5.0,1019.189356,99.0
20760,Dinner Plain,1059.204108,9.0,974.8746378,128.0
20761,Dixie (Vic.),1023.749101,8.0,1113.904688,148.0
20762,Dixons Creek,1043.782483,9.0,1079.264717,344.0
20763,Dobie,956.6714401,4.0,995.1613163,33.0
20764,Docker,1007.130286,7.0,1046.986758,106.0
20765,Dockers Plains,977.4096547,5.0,1015.334172,59.0
20766,Docklands,1108.790385,10.0,875.2269127,15495.0
20767,Doctors Flat,979.3118139,5.0,1001.17816,13.0
20768,Dollar,983.7735513,5.0,997.9428308,61.0
20769,Don Valley,969.0494434,4.0,1056.188081,586.0
20770,Donald,906.3143937,2.0,931.7365635,1472.0
20771,Doncaster,1056.527036,9.0,1006.080872,25020.0
20772,Doncaster East,1064.461593,9.0,1043.26568,30926.0
20773,Donnybrook (Vic.),1042.03485,9.0,1100.351657,2100.0
20774,Donvale,1086.110141,10.0,1080.866483,12644.0
20775,Dooboobetic,1045.256121,9.0,1083.377591,13.0
20776,Dooen,1015.135981,7.0,1071.314088,250.0
20777,Dookie,982.7819103,5.0,996.1308679,333.0
20778,Dookie College,1050.960427,9.0,1039.644959,51.0
20779,Doreen,1025.344667,8.0,1073.901546,27122.0
20780,Dorodong,954.3507958,4.0,1037.606535,21.0
20782,Douglas (Vic.),1050.14103,9.0,1091.790313,74.0
20783,Doveton,853.9060292,1.0,884.3178498,9603.0
20784,Dreeite,952.2022927,4.0,1019.898414,77.0
20785,Dreeite South,952.2022927,4.0,1019.898414,28.0
20786,Driffield,994.7568201,6.0,1048.899263,101.0
20787,Drik Drik,988.1004861,6.0,1038.475097,46.0
20788,Dromana,977.643561,5.0,990.6561423,6626.0
20789,Dropmore,1035.005901,8.0,1065.461789,19.0
20790,Drouin,950.8420254,3.0,1013.381823,15287.0
20791,Drouin East,1013.583876,7.0,1057.340129,177.0
20792,Drouin South,1008.186067,7.0,1068.458581,343.0
20793,Drouin West,1017.921798,7.0,1073.067912,361.0
20794,Drumanure,942.4784663,3.0,1032.080951,41.0
20795,Drumborg,988.1004861,6.0,1038.475097,160.0
20796,Drumcondra,1093.856689,10.0,1046.248415,571.0
20797,Drummartin,1006.190641,7.0,1054.946923,42.0
20798,Drummond,1033.246395,8.0,1062.965551,294.0
20799,Drummond North,1032.547383,8.0,1061.897295,203.0
20800,Drung,1028.9958,8.0,1077.216599,119.0
20801,Dry Diggings,1035.428566,8.0,1039.024562,41.0
20802,Drysdale,982.444538,5.0,1017.470204,4976.0
20803,Duchembegarra,1014.441485,7.0,1040.580842,47.0
20804,Dumbalk,948.7855778,3.0,1008.685417,455.0
20805,Dumbalk North,996.7036955,6.0,1034.786062,90.0
20806,Dumosa,994.3657036,6.0,994.8221283,18.0
20807,Dunach,913.0878634,2.0,984.9786783,83.0
20808,Dundonnell,1021.451094,7.0,1036.935154,52.0
20809,Dunkeld (Vic.),1001.187519,6.0,998.8213214,688.0
20810,Dunluce,859.7790805,1.0,941.0192325,36.0
20811,Dunneworthy,956.6714401,4.0,995.1613163,15.0
20812,Dunnstown,978.3801898,5.0,993.7413086,259.0
20813,Dunolly (Vic.),808.7356836,1.0,885.9601424,899.0
20814,Dunrobin,1033.603464,8.0,1070.202629,70.0
20815,Durdidwarrah,1031.470068,8.0,1058.742684,12.0
20816,Durham Lead,1010.205364,7.0,1067.997816,408.0
20817,Durham Ox,1006.711888,7.0,1005.659969,60.0
20818,Dutson,966.4414266,4.0,1030.927131,32.0
20820,Dutton Way,918.2482526,2.0,962.471318,91.0
20821,Duverney,988.8761912,6.0,1008.490195,23.0
20822,Eagle Point,956.1640522,4.0,1011.013758,1306.0
20823,Eaglehawk,895.658696,2.0,935.8810532,5538.0
20824,Eaglehawk North,956.8678192,4.0,996.9151434,13.0
20825,Eaglemont,1143.54757,10.0,1100.139624,3960.0
20826,Earlston,1018.387366,7.0,1036.46599,82.0
20827,East Bairnsdale,811.9431256,1.0,863.3655909,1352.0
20828,East Bendigo,958.5937764,4.0,935.2163601,2246.0
20829,East Geelong,1039.25209,8.0,996.7925296,4012.0
20830,East Melbourne,1156.169909,10.0,980.3167563,4896.0
20832,East Wangaratta,1046.98548,9.0,1099.697673,66.0
20833,East Warburton,947.6898602,3.0,985.0267216,906.0
20834,Eastern View,1063.832274,9.0,1081.473447,47.0
20835,Eastville,994.9062549,6.0,1037.396972,13.0
20836,Eastwood (Vic.),965.9613131,4.0,1002.879577,2855.0
20837,Ebden,1061.8422190000001,9.0,1093.807727,110.0
20838,Echuca,934.0302784,3.0,972.7765866,15056.0
20839,Echuca Village,1006.034227,7.0,1078.453491,577.0
20840,Echuca West,963.9380136,4.0,1081.099727,442.0
20841,Ecklin South,1021.86014,7.0,1057.420664,222.0
20842,Eddington,925.7988885,2.0,994.409063,113.0
20843,Eden Park,1027.499324,8.0,1108.783275,1194.0
20844,Edenhope,933.3147071,3.0,953.0686416,937.0
20845,Edgecombe,1034.634785,8.0,1071.812608,103.0
20846,Edi,1008.28819,7.0,1028.2977,60.0
20847,Edi Upper,1008.28819,7.0,1028.2977,109.0
20848,Edithvale,1064.747568,9.0,1030.247018,6276.0
20849,Eganstown,998.6407759,6.0,1010.619144,206.0
20850,Eildon,893.5878454,2.0,924.1192877,944.0
20851,Elaine,976.8647711,5.0,1021.768233,232.0
20852,Eldorado,980.7723802,5.0,1017.090343,382.0
20853,Elevated Plains,1035.428566,8.0,1039.024562,39.0
20854,Elingamite,1054.33212,9.0,1112.638489,57.0
20855,Elingamite North,1023.749101,8.0,1113.904688,118.0
20857,Ellaswood,1021.145554,7.0,1091.786222,206.0
20858,Ellerslie (Vic.),1038.971868,8.0,1090.484361,157.0
20859,Elliminyt,980.8375332,5.0,1060.836409,3260.0
20860,Ellinbank,1014.617012,7.0,1039.232327,229.0
20861,Elmhurst,952.084173,4.0,984.6495302,185.0
20862,Elmore,886.8945259,1.0,934.9156073,847.0
20863,Elphinstone (Vic.),992.622243,6.0,1044.860314,633.0
20864,Elsternwick,1120.536136,10.0,1015.849846,10887.0
20865,Eltham (Vic.),1095.654648,10.0,1096.46637,18847.0
20866,Eltham North,1111.007826,10.0,1136.23974,6830.0
20867,Elwood,1116.632661,10.0,977.1463343,15153.0
20868,Emerald (Vic.),1037.243351,8.0,1083.325216,5890.0
20869,Emu,943.7116121,3.0,986.3985024,37.0
20870,Emu Creek (Vic.),1062.308018,9.0,1102.975507,376.0
20871,Endeavour Hills,987.1980485,6.0,1022.785558,24455.0
20872,Enfield (Vic.),972.370265,5.0,1037.865515,574.0
20873,Englefield,1050.219439,9.0,1117.319926,23.0
